Month,Project,Revenue,COGS,Salaries,Rent,Marketing,Utilities,Other_Expenses,Operating_Expenses,Net_Profit
2023-01,Project A,"$12,270.00","$6,613.07","$3,294.00","$1,000.00","$1,630.00",$371.00,$320.00,"$6,615.00",-$958.07
2023-01,Project B,"$10,734.00","$4,655.87","$3,238.00","$1,000.00",$830.00,$758.00,$387.00,"$6,213.00",-$134.87
2023-01,Project C,"$16,636.00","$7,990.84","$2,130.00","$1,000.00","$1,832.00",$557.00,$643.00,"$6,162.00","$2,483.16"
2023-02,Project A,"$18,803.00","$10,935.18","$4,433.00","$1,000.00","$1,715.00",$743.00,$576.00,"$8,467.00",-$599.18
2023-02,Project B,"$6,184.00","$2,419.63","$2,021.00","$1,000.00",$752.00,$535.00,$860.00,"$5,168.00","-$1,403.63"
2023-02,Project C,"$13,666.00","$6,608.27","$4,047.00","$1,000.00","$1,999.00",$487.00,$489.00,"$8,022.00",-$964.27
2023-03,Project A,"$7,734.00","$3,754.98","$3,899.00","$1,000.00","$1,767.00",$619.00,$804.00,"$8,089.00","-$4,109.98"
2023-03,Project B,"$16,394.00","$9,147.56","$2,646.00","$1,000.00",$520.00,$628.00,$466.00,"$5,260.00","$1,986.44"
2023-03,Project C,"$10,393.00","$6,076.43","$4,363.00","$1,000.00",$513.00,$541.00,$645.00,"$7,062.00","-$2,745.43"
2023-04,Project A,"$7,612.00","$2,810.87","$4,139.00","$1,000.00","$1,890.00",$743.00,$754.00,"$8,526.00","-$3,724.87"
2023-04,Project B,"$15,748.00","$8,660.75","$2,034.00","$1,000.00",$705.00,$380.00,$861.00,"$4,980.00","$2,107.25"
2023-04,Project C,"$8,943.00","$4,709.46","$3,021.00","$1,000.00","$1,913.00",$353.00,$405.00,"$6,692.00","-$2,458.46"
2023-05,Project A,"$8,843.00","$3,143.30","$2,702.00","$1,000.00",$901.00,$517.00,$855.00,"$5,975.00",-$275.30
2023-05,Project B,"$5,161.00","$2,160.11","$2,995.00","$1,000.00",$769.00,$650.00,$570.00,"$5,984.00","-$2,983.11"
2023-05,Project C,"$17,743.00","$8,359.32","$3,275.00","$1,000.00","$1,516.00",$489.00,$595.00,"$6,875.00","$2,508.68"
2023-06,Project A,"$12,892.00","$5,370.85","$2,337.00","$1,000.00","$1,378.00",$352.00,$516.00,"$5,583.00","$1,938.15"
2023-06,Project B,"$9,859.00","$4,753.13","$2,492.00","$1,000.00","$1,564.00",$456.00,$314.00,"$5,826.00",-$720.13
2023-06,Project C,"$17,076.00","$5,504.71","$4,568.00","$1,000.00","$1,867.00",$428.00,$947.00,"$8,810.00","$2,761.29"
2023-07,Project A,"$14,687.00","$4,468.14","$3,522.00","$1,000.00","$1,092.00",$691.00,$974.00,"$7,279.00","$2,939.86"
2023-07,Project B,"$17,706.00","$9,408.63","$3,796.00","$1,000.00",$730.00,$340.00,$327.00,"$6,193.00","$2,104.37"
2023-07,Project C,"$11,278.00","$6,259.42","$2,779.00","$1,000.00","$1,429.00",$332.00,$347.00,"$5,887.00",-$868.42
2023-08,Project A,"$17,790.00","$6,996.71","$3,751.00","$1,000.00","$1,304.00",$398.00,$983.00,"$7,436.00","$3,357.29"
